City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Cascais,PT,2022-02-11 17:34:28,38.6979,-9.4215,65.75,64,0,15.01
133,Malakal,SS,2022-02-11 17:30:11,9.5334,31.6605,84.43,19,41,7.25
134,Bud,US,2022-02-11 17:34:29,39.447,-86.1758,51.12,86,98,15.82
135,Bucerias,MX,2022-02-11 17:34:30,20.75,-105.3333,73.38,43,0,0.0
136,Magadan,RU,2022-02-11 17:34:30,59.5667,150.8,-9.47,73,97,4.81
137,Soverato,IT,2022-02-11 17:34:31,38.685,16.5499,53.51,70,66,5.66
138,Deputatskiy,RU,2022-02-11 17:34:32,69.3,139.9,-18.58,97,94,5.75
139,Vanimo,PG,2022-02-11 17:34:33,-2.6741,141.3028,76.59,89,100,4.7
140,Amapa,BR,2022-02-11 17:34:33,1.0,-52.0,82.22,76,89,2.93
141,Provideniya,RU,2022-02-11 17:34:33,64.3833,-173.3,-17.36,93,14,8.99
142,Ketchikan,US,2022-02-11 17:34:34,55.3422,-131.6461,34.27,86,100,4.61
143,Lodja,CD,2022-02-11 17:34:34,-3.4833,23.4333,76.42,71,78,1.7
144,Mar Del Plata,AR,2022-02-11 17:34:34,-38.0023,-57.5575,64.42,71,100,21.99
145,Mlonggo,ID,2022-02-11 17:34:34,-6.5333,110.7,76.89,86,100,5.73
146,Ostrovnoy,RU,2022-02-11 17:34:35,68.0531,39.5131,18.12,94,99,11.25
147,Kruisfontein,ZA,2022-02-11 17:34:35,-34.0033,24.7314,65.28,76,0,3.33
148,Te Anau,NZ,2022-02-11 17:34:36,-45.4167,167.7167,54.16,90,87,1.86
149,Nagaur,IN,2022-02-11 17:34:36,27.2,73.7333,62.71,28,0,3.09
150,Totma,RU,2022-02-11 17:34:36,59.9747,42.7642,25.95,95,100,7.2
151,Sioux Lookout,CA,2022-02-11 17:33:35,50.1001,-91.917,-5.42,71,100,13.8
152,Alice Springs,AU,2022-02-11 17:30:12,-23.7,133.8833,65.75,72,0,3.44
153,Saint-Francois,FR,2022-02-11 17:34:37,46.4154,3.9054,42.24,61,0,8.05
154,Sinnamary,GF,2022-02-11 17:34:38,5.3833,-52.95,79.16,84,55,8.81
155,Ciudad Guayana,VE,2022-02-11 17:34:38,8.3533,-62.6528,87.69,46,68,8.72
156,Ponta Do Sol,PT,2022-02-11 17:34:39,32.6667,-17.1,68.72,80,2,2.73
157,Khatanga,RU,2022-02-11 17:34:39,71.9667,102.5,3.78,83,99,15.79
158,Bonavista,CA,2022-02-11 17:34:39,48.6499,-53.1147,40.12,79,86,15.08
159,Margate,GB,2022-02-11 17:34:40,51.3813,1.3862,42.96,71,53,1.99
160,Lavrentiya,RU,2022-02-11 17:34:40,65.5833,-171.0,-25.8,95,62,7.16
161,Port Hardy,CA,2022-02-11 17:32:16,50.6996,-127.4199,42.76,93,100,2.3
162,Oranjemund,NA,2022-02-11 17:34:41,-28.55,16.4333,65.8,77,30,9.64
163,Yantal,RU,2022-02-11 17:34:41,56.8471,105.2542,-22.99,100,29,1.81
164,Santa Fe,AR,2022-02-11 17:34:41,-31.6333,-60.7,81.91,63,87,8.01
165,Agadir,MA,2022-02-11 17:31:17,30.4202,-9.5982,75.65,37,54,14.85
166,Leningradskiy,RU,2022-02-11 17:34:42,69.3833,178.4167,-17.07,97,100,4.61
167,Bulawayo,ZW,2022-02-11 17:34:42,-20.15,28.5833,68.4,67,64,8.57
168,Hay River,CA,2022-02-11 17:32:13,60.8156,-115.7999,-11.22,77,75,4.61
169,Geraldton,AU,2022-02-11 17:34:43,-28.7667,114.6,73.81,88,52,6.91
170,Dogondoutchi,NE,2022-02-11 17:34:43,13.6393,4.0287,80.47,8,0,9.17
171,Anadyr,RU,2022-02-11 17:35:44,64.75,177.4833,-34.1,74,0,11.18
172,Constantine,DZ,2022-02-11 17:35:44,36.365,6.6147,53.01,62,40,9.22
173,Chokurdakh,RU,2022-02-11 17:35:45,70.6333,147.9167,-4.94,97,100,11.92
174,Namatanai,PG,2022-02-11 17:35:45,-3.6667,152.4333,78.31,81,100,3.62
175,Baykalovo,RU,2022-02-11 17:35:45,57.3981,63.7684,7.72,91,100,14.29
176,Puerto Carreno,CO,2022-02-11 17:35:46,6.189,-67.4859,91.38,43,20,10.36
177,Begowala,PK,2022-02-11 17:35:47,32.4376,74.2682,55.38,67,11,0.0
178,Callaway,US,2022-02-11 17:35:47,30.153,-85.5699,68.18,41,40,6.91
179,Adet,ET,2022-02-11 17:35:48,11.2644,37.4888,60.08,71,83,6.42
180,Vao,NC,2022-02-11 17:35:48,-22.6667,167.4833,80.64,83,100,18.57
181,Hobyo,SO,2022-02-11 17:35:49,5.3505,48.5268,76.84,67,4,20.15
182,Aguimes,ES,2022-02-11 17:35:49,27.9054,-15.4461,70.43,43,0,6.91
183,San Patricio,US,2022-02-11 17:35:49,28.017,-97.5169,73.49,44,0,5.66
184,Nishihara,JP,2022-02-11 17:35:50,26.1842,127.7558,65.48,72,100,6.91
185,Jinchang,CN,2022-02-11 17:35:50,38.4953,102.1739,24.17,85,100,4.41
186,Chuy,UY,2022-02-11 17:35:51,-33.6971,-53.4616,83.07,58,5,13.8
187,Qaanaaq,GL,2022-02-11 17:33:56,77.484,-69.3632,-24.61,65,0,7.58
188,Radstadt,AT,2022-02-11 17:35:51,47.3833,13.45,32.54,99,100,2.26
189,Sungaipenuh,ID,2022-02-11 17:35:52,-2.0833,101.3833,64.6,93,99,2.06
190,Georgetown,MY,2022-02-11 17:33:51,5.4112,100.3354,79.9,86,20,0.0
191,Cururupu,BR,2022-02-11 17:35:52,-1.8283,-44.8683,85.21,63,89,5.41
192,Saskylakh,RU,2022-02-11 17:34:28,71.9167,114.0833,2.39,91,99,13.15
193,Lasa,IT,2022-02-11 17:35:52,46.6166,10.7002,46.31,92,73,7.49
194,Bethel,US,2022-02-11 17:35:53,41.3712,-73.414,54.03,42,0,13.8
195,Lafia,NG,2022-02-11 17:35:53,8.4833,8.5167,88.99,8,39,2.44
196,Avera,US,2022-02-11 17:35:54,33.194,-82.5271,68.72,41,85,9.04
197,Esso,RU,2022-02-11 17:35:54,55.9333,158.7,-7.65,96,48,4.23
198,Miri,MY,2022-02-11 17:35:55,4.4148,114.0089,73.54,100,40,2.3
199,Xining,CN,2022-02-11 17:35:55,36.6167,101.7667,20.03,95,100,1.25
200,Tilichiki,RU,2022-02-11 17:35:55,60.4667,166.1,-17.27,84,2,9.17
201,Los Llanos De Aridane,ES,2022-02-11 17:35:56,28.6585,-17.9182,71.35,43,0,5.75
202,Houma,US,2022-02-11 17:33:01,29.5958,-90.7195,68.0,42,0,4.61
203,Saint-Philippe,RE,2022-02-11 17:35:56,-21.3585,55.7679,78.39,77,31,7.7
204,Tire,TR,2022-02-11 17:35:56,38.0888,27.7351,48.94,69,0,3.02
205,Souillac,MU,2022-02-11 17:35:57,-20.5167,57.5167,79.18,83,40,2.3
206,Abu Samrah,SY,2022-02-11 17:35:57,35.3029,37.1841,48.65,63,2,2.95
207,Abu Kamal,SY,2022-02-11 17:35:57,34.4506,40.9171,57.61,42,88,11.99
208,Laguna,US,2022-02-11 17:35:58,38.421,-121.4238,70.63,76,0,1.01
209,Filadelfia,US,2022-02-11 17:35:36,39.9523,-75.1638,60.31,32,20,12.66
210,Belomorsk,RU,2022-02-11 17:35:58,64.5232,34.7668,20.75,94,99,9.24
211,Nikki,BJ,2022-02-11 17:35:59,9.9401,3.2108,86.47,9,2,4.88
212,Esperance,AU,2022-02-11 17:35:59,-33.8667,121.9,73.24,74,96,6.73
213,Victoria Falls,ZW,2022-02-11 17:35:59,-17.9235,25.843,67.12,93,100,3.31
214,Ancud,CL,2022-02-11 17:31:54,-41.8697,-73.8203,66.22,54,0,6.44
215,Antofagasta,CL,2022-02-11 17:31:53,-23.65,-70.4,76.21,60,3,9.69
216,Sitka,US,2022-02-11 17:33:10,57.0531,-135.33,37.29,87,100,4.61
217,Bitung,ID,2022-02-11 17:36:00,1.4451,125.1824,76.05,84,98,5.1
218,Guane,CU,2022-02-11 17:36:01,22.2025,-84.0875,82.83,49,38,5.14
219,Breytovo,RU,2022-02-11 17:36:01,58.2993,37.8617,29.84,91,100,8.7
220,Dwarka,IN,2022-02-11 17:36:01,22.2394,68.9678,71.19,58,1,10.67
221,Mahalapye,BW,2022-02-11 17:37:02,-23.1041,26.8142,81.82,17,2,10.04
222,Auriflama,BR,2022-02-11 17:37:02,-20.6856,-50.5547,81.09,69,56,3.56
223,Bathsheba,BB,2022-02-11 17:37:03,13.2167,-59.5167,83.01,54,20,26.46
224,Acapulco,MX,2022-02-11 17:36:31,16.8634,-99.8901,82.22,54,75,0.0
225,Saldanha,ZA,2022-02-11 17:37:03,-33.0117,17.9442,73.45,91,13,19.04
226,Tubuala,PA,2022-02-11 17:37:04,9.5167,-79.0333,91.51,72,77,13.58
227,Volchikha,RU,2022-02-11 17:37:04,52.0333,80.3833,-16.44,100,80,4.23
228,Desaguadero,PE,2022-02-11 17:37:04,-16.5656,-69.0417,57.88,46,77,8.61
229,Evinayong,GQ,2022-02-11 17:37:05,1.4368,10.5512,72.97,81,58,4.38
230,Coffeyville,US,2022-02-11 17:37:05,37.0373,-95.6164,58.01,45,0,9.22
231,Sao Joao Da Barra,BR,2022-02-11 17:37:05,-21.6403,-41.0511,80.69,84,100,8.95
232,Fortuna,US,2022-02-11 17:37:06,40.5982,-124.1573,56.32,71,0,6.91
233,Buala,SB,2022-02-11 17:37:06,-8.145,159.5921,76.23,93,100,2.53
234,Skelleftea,SE,2022-02-11 17:37:06,64.7507,20.9528,21.56,59,0,5.75
235,Hambantota,LK,2022-02-11 17:37:07,6.1241,81.1185,77.0,88,96,11.23
236,Kristiansund,NO,2022-02-11 17:37:07,63.1115,7.732,36.25,80,75,28.77
237,Kaitangata,NZ,2022-02-11 17:37:08,-46.2817,169.8464,55.24,83,100,3.33
238,Kahului,US,2022-02-11 17:36:13,20.8947,-156.47,69.84,82,0,5.99
239,Vestmannaeyjar,IS,2022-02-11 17:37:08,63.4427,-20.2734,36.59,69,100,25.32
240,Arys,KZ,2022-02-11 17:37:09,42.4252,68.795,44.82,49,100,10.85
241,Soe,ID,2022-02-11 17:37:09,-9.8607,124.284,66.4,94,100,1.68
242,Japura,ID,2022-02-11 17:37:09,-0.3167,102.35,72.88,97,100,3.13
243,Faya,SA,2022-02-11 17:37:10,18.3851,42.4509,59.11,85,23,7.43
244,Ahipara,NZ,2022-02-11 17:37:10,-35.1667,173.1667,74.35,93,98,12.57
245,Brae,GB,2022-02-11 17:37:10,60.3964,-1.353,40.91,75,100,17.34
246,Birnin Kebbi,NG,2022-02-11 17:37:11,12.4539,4.1975,82.67,9,6,9.44
247,Ojinaga,MX,2022-02-11 17:37:11,29.5667,-104.4167,66.58,22,0,0.0
248,Semirom,IR,2022-02-11 17:37:11,31.4167,51.5667,33.1,97,78,3.76
249,Ivanava,BY,2022-02-11 17:37:12,52.1451,25.5365,34.81,93,100,5.3
250,Brcko,BA,2022-02-11 17:37:12,44.8728,18.8083,53.42,72,15,12.59
251,Trelew,AR,2022-02-11 17:36:58,-43.249,-65.3051,74.62,13,0,8.86
252,Coos Bay,US,2022-02-11 17:37:13,43.3665,-124.2179,47.95,61,0,0.0
253,Fairbanks,US,2022-02-11 17:35:02,64.8378,-147.7164,-4.04,75,0,8.05
254,Gyorszemere,HU,2022-02-11 17:37:13,47.5526,17.5636,44.82,56,100,16.49
255,Yablonovo,RU,2022-02-11 17:37:14,50.8523,37.3574,35.46,97,100,10.45
256,Ossora,RU,2022-02-11 17:37:14,59.2353,163.0719,-8.64,97,49,4.41
257,Hasaki,JP,2022-02-11 17:37:14,35.7333,140.8333,28.8,57,11,15.37
258,Seddon,AU,2022-02-11 17:37:15,-37.8068,144.8916,64.22,85,20,1.99
259,Jeremie,HT,2022-02-11 17:37:16,18.65,-74.1167,79.29,73,13,1.74
